protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 106.39.169.231 10.0.3.15 80 45359 40 40 40 100 40 397 17624 58 58 58 118 58 415 17624 5 5 5 5 5 5 0 6 6 2 1 1 1 2 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 47336 40 60 1460 833 60 1460 478663 58 78 1478 851 78 1478 478663 5 5 5 5 5 5 0 190 190 2 186 82 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 41593 40 80 1460 906 80 1460 462834 58 98 1478 924 98 1478 462834 5 5 5 5 5 5 0 118 118 2 114 44 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 36.110.181.226 34593 443 40 40 40 52 77 77 304 58 40 58 70 95 95 304 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 28400 28400 0 28400
tcp 36.110.181.226 10.0.3.15 443 34593 40 40 40 40 40 40 0 58 40 58 58 58 58 0 5 5 5 5 5 5 0 3 3 2 0 0 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.171.84 37751 443 40 40 40 198 40 1500 150693 58 58 58 216 58 1518 150693 5 5 5 5 5 5 0 13 12 6 5 4 1 1 0 25560 14600 0 20409
tcp 106.39.171.84 10.0.3.15 443 37751 40 40 44 327 40 1460 259592 58 58 62 345 58 1478 259592 5 5 5 5 5 5 0 13 13 5 6 4 1 0 0 65535 65535 0 65535
tcp 10.0.3.15 150.138.120.1 39096 80 40 40 40 56 40 281 3353 58 40 58 74 58 299 3353 5 5 5 5 5 5 0 1443 1442 1341 101 100 1 1 0 65320 14600 0 64618
tcp 106.39.169.231 10.0.3.15 80 47330 40 40 40 148 364 364 23328 58 40 58 166 382 382 23328 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 47330 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 2 2 1 0 0 0 1 0 15544 15544 0 15544
tcp 10.0.3.15 106.39.169.231 47160 80 40 40 50 357 40 1500 284525 58 58 68 375 58 1518 284525 5 5 5 5 5 5 0 6 5 2 3 1 1 1 0 15544 14600 0 14915
tcp 10.0.3.15 150.138.120.1 50792 80 40 40 40 62 40 281 4567 58 58 58 80 58 299 4567 5 5 5 5 5 5 0 1029 1028 927 101 100 1 1 0 65320 14600 0 64540
tcp 10.0.3.15 150.138.120.1 53900 80 40 40 40 57 40 280 3591 58 58 58 75 58 298 3591 5 5 5 5 5 5 0 412 411 380 31 30 1 1 0 65320 14600 0 63648
tcp 10.0.3.15 150.138.120.1 40216 80 40 40 40 52 40 280 2654 58 58 58 70 58 298 2654 5 5 5 5 5 5 0 520 519 490 29 28 1 1 0 65320 14600 0 63782
tcp 10.0.3.15 150.138.120.1 48272 80 40 40 40 55 40 280 3131 58 40 58 73 58 298 3131 5 5 5 5 5 5 0 563 562 525 37 36 1 1 0 65320 14600 0 63541
tcp 150.138.120.1 10.0.3.15 80 39096 40 60 1460 870 1460 1460 457167 58 60 1478 888 1478 1478 457167 5 5 5 5 5 5 0 1931 1931 101 1828 765 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 47160 40 40 40 121 40 522 32162 58 58 58 139 58 540 32162 5 5 5 5 5 5 0 6 6 3 1 1 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 49090 40 60 776 761 60 1460 489243 58 78 794 779 78 1478 489243 5 5 5 5 5 5 0 54 54 1 52 25 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 49090 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 45 45 44 0 0 0 1 0 65320 17040 0 46639
