,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 10.0.3.15 111.32.143.149 45061 443
tcp 10.0.3.15 119.29.29.29 33177 80
tcp 111.32.143.149 10.0.3.15 443 45061
tcp 119.29.29.29 10.0.3.15 80 33177
tcp 10.0.3.15 154.8.131.172 39432 443
tcp 154.8.131.172 10.0.3.15 443 39432
tcp 10.0.3.15 154.8.131.165 45556 443
tcp 154.8.131.165 10.0.3.15 443 45556
tcp 10.0.3.15 154.8.131.165 54021 443
tcp 10.0.3.15 154.8.131.165 32812 443
tcp 154.8.131.165 10.0.3.15 443 54021
tcp 154.8.131.165 10.0.3.15 443 32812
tcp 10.0.3.15 154.8.131.123 56400 4392
tcp 154.8.131.123 10.0.3.15 4392 56400
tcp 10.0.3.15 154.8.131.171 54969 443
tcp 10.0.3.15 119.29.29.29 49707 80
tcp 154.8.131.171 10.0.3.15 443 54969
tcp 119.29.29.29 10.0.3.15 80 49707
tcp 10.0.3.15 121.17.123.141 47826 443
tcp 10.0.3.15 121.17.123.141 58754 443
tcp 10.0.3.15 121.17.123.141 45011 443
tcp 121.17.123.141 10.0.3.15 443 47826
tcp 121.17.123.141 10.0.3.15 443 58754
tcp 121.17.123.141 10.0.3.15 443 45011
tcp 10.0.3.15 27.221.93.98 44938 443
tcp 10.0.3.15 27.221.93.98 34717 443
tcp 27.221.93.98 10.0.3.15 443 44938
tcp 27.221.93.98 10.0.3.15 443 34717
tcp 10.0.3.15 27.221.93.98 35754 443
tcp 27.221.93.98 10.0.3.15 443 35754
tcp 10.0.3.15 154.8.131.165 33160 443
tcp 10.0.3.15 154.8.131.165 58398 443
tcp 154.8.131.165 10.0.3.15 443 33160
tcp 154.8.131.165 10.0.3.15 443 58398
tcp 10.0.3.15 154.8.131.165 42395 443
tcp 154.8.131.165 10.0.3.15 443 42395
tcp 10.0.3.15 121.17.123.141 44609 443
tcp 121.17.123.141 10.0.3.15 443 44609
tcp 10.0.3.15 121.17.123.141 59646 443
tcp 121.17.123.141 10.0.3.15 443 59646
tcp 10.0.3.15 154.8.131.165 56706 443
tcp 154.8.131.165 10.0.3.15 443 56706
tcp 10.0.3.15 154.8.131.165 51383 443
tcp 154.8.131.165 10.0.3.15 443 51383
tcp 10.0.3.15 154.8.131.165 52249 443
tcp 154.8.131.165 10.0.3.15 443 52249
tcp 10.0.3.15 58.58.80.224 33840 443
tcp 10.0.3.15 119.29.29.29 48072 80
tcp 10.0.3.15 58.58.80.224 56080 443
tcp 119.29.29.29 10.0.3.15 80 48072
tcp 58.58.80.224 10.0.3.15 443 56080
tcp 58.58.80.224 10.0.3.15 443 33840
