,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 10.0.3.15 123.246.194.113 56421 443
tcp 121.17.123.141 10.0.3.15 443 36289
tcp 119.29.29.29 10.0.3.15 80 54482
tcp 10.0.3.15 123.246.194.113 56343 443
tcp 123.246.194.113 10.0.3.15 443 56421
tcp 10.0.3.15 123.246.194.113 36738 443
tcp 123.246.194.113 10.0.3.15 443 56343
tcp 123.246.194.113 10.0.3.15 443 36738
tcp 10.0.3.15 123.246.194.113 44549 443
tcp 123.246.194.113 10.0.3.15 443 44549
tcp 10.0.3.15 154.8.131.165 34431 443
tcp 154.8.131.165 10.0.3.15 443 34431
tcp 10.0.3.15 154.8.131.171 58837 443
tcp 10.0.3.15 154.8.131.171 43557 443
tcp 154.8.131.171 10.0.3.15 443 58837
tcp 154.8.131.171 10.0.3.15 443 43557
tcp 10.0.3.15 154.8.131.165 42060 443
tcp 154.8.131.165 10.0.3.15 443 42060
tcp 10.0.3.15 111.32.143.149 43581 443
tcp 10.0.3.15 119.29.29.29 47760 80
tcp 111.32.143.149 10.0.3.15 443 43581
tcp 119.29.29.29 10.0.3.15 80 47760
tcp 10.0.3.15 154.8.131.165 48087 443
tcp 154.8.131.165 10.0.3.15 443 48087
tcp 10.0.3.15 154.8.131.165 55613 443
tcp 154.8.131.165 10.0.3.15 443 55613
tcp 10.0.3.15 154.8.131.171 37691 443
tcp 154.8.131.171 10.0.3.15 443 37691
tcp 10.0.3.15 123.246.194.113 50563 443
tcp 10.0.3.15 119.29.29.29 56027 80
tcp 119.29.29.29 10.0.3.15 80 56027
tcp 123.246.194.113 10.0.3.15 443 50563
udp 10.0.3.15 202.113.16.41 51530 53
udp 202.113.16.41 10.0.3.15 53 51530
tcp 10.0.3.15 111.32.143.148 36387 443
tcp 10.0.3.15 119.29.29.29 60990 80
tcp 111.32.143.148 10.0.3.15 443 36387
tcp 119.29.29.29 10.0.3.15 80 60990
tcp 10.0.3.15 154.8.131.165 40557 443
tcp 154.8.131.165 10.0.3.15 443 40557
tcp 10.0.3.15 123.6.30.219 35782 443
tcp 123.6.30.219 10.0.3.15 443 35782
tcp 10.0.3.15 154.8.131.171 58980 443
tcp 154.8.131.171 10.0.3.15 443 58980
tcp 10.0.3.15 154.8.131.171 37048 443
tcp 154.8.131.171 10.0.3.15 443 37048
tcp 10.0.3.15 154.8.131.171 57664 443
tcp 154.8.131.171 10.0.3.15 443 57664
tcp 10.0.3.15 154.8.131.171 42055 443
tcp 10.0.3.15 154.8.131.171 48072 443
tcp 10.0.3.15 154.8.131.171 49196 443
tcp 10.0.3.15 154.8.131.171 45416 443
tcp 10.0.3.15 154.8.131.171 51446 443
tcp 10.0.3.15 154.8.131.171 59181 443
tcp 154.8.131.171 10.0.3.15 443 42055
tcp 10.0.3.15 154.8.131.171 33275 443
tcp 154.8.131.171 10.0.3.15 443 48072
tcp 154.8.131.171 10.0.3.15 443 49196
tcp 154.8.131.171 10.0.3.15 443 45416
tcp 154.8.131.171 10.0.3.15 443 51446
tcp 154.8.131.171 10.0.3.15 443 59181
tcp 154.8.131.171 10.0.3.15 443 33275
tcp 10.0.3.15 123.246.194.113 40958 443
tcp 10.0.3.15 119.29.29.29 34101 80
tcp 119.29.29.29 10.0.3.15 80 34101
tcp 123.246.194.113 10.0.3.15 443 40958
tcp 10.0.3.15 123.246.194.113 42167 443
tcp 10.0.3.15 123.246.194.113 58492 443
tcp 123.246.194.113 10.0.3.15 443 42167
tcp 123.246.194.113 10.0.3.15 443 58492
tcp 10.0.3.15 123.246.194.113 51247 443
tcp 123.246.194.113 10.0.3.15 443 51247
tcp 10.0.3.15 121.17.123.141 46104 443
tcp 121.17.123.141 10.0.3.15 443 46104
tcp 10.0.3.15 154.8.131.171 58737 443
tcp 154.8.131.171 10.0.3.15 443 58737
tcp 10.0.3.15 154.8.131.165 41095 443
tcp 154.8.131.165 10.0.3.15 443 41095
tcp 10.0.3.15 121.17.123.141 37530 443
tcp 121.17.123.141 10.0.3.15 443 37530
udp 10.0.3.15 202.113.16.41 10687 53
udp 202.113.16.41 10.0.3.15 53 10687
tcp 10.0.3.15 140.249.37.244 52055 443
tcp 10.0.3.15 119.29.29.29 59887 80
tcp 119.29.29.29 10.0.3.15 80 59887
tcp 140.249.37.244 10.0.3.15 443 52055
tcp 10.0.3.15 221.194.146.250 51443 443
tcp 221.194.146.250 10.0.3.15 443 51443
udp 10.0.3.15 202.113.16.41 16596 53
udp 202.113.16.41 10.0.3.15 53 16596
tcp 10.0.3.15 154.8.131.172 55891 443
tcp 154.8.131.172 10.0.3.15 443 55891
udp 10.0.3.15 202.113.16.41 47454 53
udp 202.113.16.41 10.0.3.15 53 47454
tcp 10.0.3.15 154.8.131.171 40436 443
tcp 10.0.3.15 119.29.29.29 41986 80
tcp 154.8.131.171 10.0.3.15 443 40436
tcp 119.29.29.29 10.0.3.15 80 41986
udp 10.0.3.15 202.113.16.41 50343 53
udp 202.113.16.41 10.0.3.15 53 50343
tcp 10.0.3.15 121.17.123.141 52659 443
tcp 121.17.123.141 10.0.3.15 443 52659
tcp 10.0.3.15 154.8.131.172 36872 443
tcp 154.8.131.172 10.0.3.15 443 36872
tcp 10.0.3.15 154.8.131.172 35438 443
tcp 154.8.131.172 10.0.3.15 443 35438
tcp 10.0.3.15 154.8.131.172 53337 443
tcp 154.8.131.172 10.0.3.15 443 53337
tcp 10.0.3.15 154.8.131.172 39698 443
tcp 154.8.131.172 10.0.3.15 443 39698
tcp 10.0.3.15 154.8.131.172 48212 443
tcp 10.0.3.15 154.8.131.172 55022 443
tcp 10.0.3.15 154.8.131.172 37652 443
tcp 10.0.3.15 154.8.131.172 47098 443
tcp 10.0.3.15 154.8.131.172 41191 443
tcp 10.0.3.15 154.8.131.172 58736 443
tcp 154.8.131.172 10.0.3.15 443 48212
tcp 154.8.131.172 10.0.3.15 443 55022
tcp 10.0.3.15 154.8.131.172 52595 443
tcp 154.8.131.172 10.0.3.15 443 52595
tcp 154.8.131.172 10.0.3.15 443 58736
tcp 154.8.131.172 10.0.3.15 443 41191
tcp 154.8.131.172 10.0.3.15 443 47098
tcp 154.8.131.172 10.0.3.15 443 37652
tcp 10.0.3.15 119.29.29.29 36497 80
tcp 10.0.3.15 140.249.37.244 39267 443
tcp 10.0.3.15 140.249.37.244 46661 443
tcp 119.29.29.29 10.0.3.15 80 36497
tcp 10.0.3.15 121.17.123.141 49120 443
tcp 10.0.3.15 140.249.37.244 56229 443
tcp 140.249.37.244 10.0.3.15 443 46661
tcp 140.249.37.244 10.0.3.15 443 39267
tcp 121.17.123.141 10.0.3.15 443 49120
tcp 140.249.37.244 10.0.3.15 443 56229
tcp 10.0.3.15 154.8.131.172 44944 443
tcp 154.8.131.172 10.0.3.15 443 44944
tcp 10.0.3.15 154.8.131.172 59750 443
tcp 154.8.131.172 10.0.3.15 443 59750
tcp 10.0.3.15 154.8.131.172 57240 443
tcp 154.8.131.172 10.0.3.15 443 57240
tcp 10.0.3.15 154.8.131.172 38126 443
tcp 154.8.131.172 10.0.3.15 443 38126
tcp 10.0.3.15 154.8.131.172 47700 443
tcp 154.8.131.172 10.0.3.15 443 47700
tcp 10.0.3.15 154.8.131.172 34707 443
tcp 154.8.131.172 10.0.3.15 443 34707
tcp 10.0.3.15 140.249.37.244 36100 443
tcp 10.0.3.15 119.29.29.29 59321 80
tcp 119.29.29.29 10.0.3.15 80 59321
tcp 140.249.37.244 10.0.3.15 443 36100
tcp 10.0.3.15 154.8.131.172 41747 443
tcp 10.0.3.15 154.8.131.172 41889 443
tcp 154.8.131.172 10.0.3.15 443 41889
tcp 10.0.3.15 154.8.131.172 47863 443
tcp 154.8.131.172 10.0.3.15 443 47863
tcp 10.0.3.15 154.8.131.172 41582 443
tcp 10.0.3.15 154.8.131.172 42131 443
tcp 10.0.3.15 154.8.131.172 43845 443
tcp 10.0.3.15 154.8.131.172 59097 443
tcp 10.0.3.15 154.8.131.172 60489 443
tcp 154.8.131.172 10.0.3.15 443 41582
tcp 10.0.3.15 154.8.131.172 43367 443
tcp 154.8.131.172 10.0.3.15 443 59097
tcp 154.8.131.172 10.0.3.15 443 43845
tcp 154.8.131.172 10.0.3.15 443 60489
tcp 154.8.131.172 10.0.3.15 443 43367
tcp 154.8.131.172 10.0.3.15 443 42131
tcp 10.0.3.15 154.8.131.172 40627 443
tcp 154.8.131.172 10.0.3.15 443 40627
tcp 10.0.3.15 119.188.218.229 49108 443
tcp 10.0.3.15 119.188.218.229 47300 443
tcp 10.0.3.15 119.188.218.229 44194 443
tcp 119.188.218.229 10.0.3.15 443 49108
tcp 119.188.218.229 10.0.3.15 443 47300
tcp 119.188.218.229 10.0.3.15 443 44194
udp 10.0.3.15 202.113.16.41 17167 53
udp 202.113.16.41 10.0.3.15 53 17167
tcp 10.0.3.15 111.32.143.148 55161 443
tcp 10.0.3.15 119.29.29.29 36316 80
tcp 111.32.143.148 10.0.3.15 443 55161
tcp 119.29.29.29 10.0.3.15 80 36316
tcp 10.0.3.15 121.17.123.141 44952 443
tcp 10.0.3.15 121.17.123.141 36063 443
tcp 121.17.123.141 10.0.3.15 443 44952
tcp 121.17.123.141 10.0.3.15 443 36063
tcp 154.8.131.172 10.0.3.15 443 41747
tcp 10.0.3.15 154.8.131.172 57424 443
tcp 154.8.131.172 10.0.3.15 443 57424
tcp 10.0.3.15 154.8.131.172 56639 443
tcp 154.8.131.172 10.0.3.15 443 56639
tcp 10.0.3.15 154.8.131.172 59605 443
tcp 154.8.131.172 10.0.3.15 443 59605
tcp 10.0.3.15 154.8.131.172 50218 443
tcp 154.8.131.172 10.0.3.15 443 50218
tcp 10.0.3.15 111.32.143.148 58062 443
tcp 10.0.3.15 119.29.29.29 57789 80
tcp 111.32.143.148 10.0.3.15 443 58062
tcp 119.29.29.29 10.0.3.15 80 57789
tcp 10.0.3.15 140.249.37.244 45879 443
tcp 10.0.3.15 119.29.29.29 42763 80
tcp 119.29.29.29 10.0.3.15 80 42763
tcp 140.249.37.244 10.0.3.15 443 45879
tcp 10.0.3.15 154.8.131.172 57066 443
tcp 154.8.131.172 10.0.3.15 443 57066
tcp 10.0.3.15 154.8.131.172 51649 443
tcp 154.8.131.172 10.0.3.15 443 51649
tcp 10.0.3.15 154.8.131.172 60539 443
tcp 154.8.131.172 10.0.3.15 443 60539
tcp 10.0.3.15 154.8.131.172 45349 443
tcp 10.0.3.15 154.8.131.172 38551 443
tcp 10.0.3.15 154.8.131.172 43403 443
tcp 10.0.3.15 154.8.131.172 35110 443
tcp 10.0.3.15 154.8.131.172 45823 443
tcp 10.0.3.15 154.8.131.172 39928 443
tcp 154.8.131.172 10.0.3.15 443 38551
tcp 154.8.131.172 10.0.3.15 443 45349
tcp 10.0.3.15 154.8.131.172 56043 443
tcp 154.8.131.172 10.0.3.15 443 39928
tcp 154.8.131.172 10.0.3.15 443 45823
tcp 154.8.131.172 10.0.3.15 443 35110
tcp 154.8.131.172 10.0.3.15 443 43403
tcp 154.8.131.172 10.0.3.15 443 56043
tcp 10.0.3.15 121.17.123.141 58614 443
tcp 121.17.123.141 10.0.3.15 443 58614
udp 10.0.3.15 202.113.16.41 5926 53
udp 202.113.16.41 10.0.3.15 53 5926
tcp 10.0.3.15 221.194.146.249 35572 443
tcp 221.194.146.249 10.0.3.15 443 35572
tcp 10.0.3.15 221.194.146.249 58547 443
tcp 221.194.146.249 10.0.3.15 443 58547
tcp 10.0.3.15 221.194.146.249 58527 443
tcp 221.194.146.249 10.0.3.15 443 58527
tcp 10.0.3.15 121.17.123.141 40755 443
tcp 121.17.123.141 10.0.3.15 443 40755
tcp 10.0.3.15 154.8.131.172 59007 443
tcp 154.8.131.172 10.0.3.15 443 59007
tcp 10.0.3.15 154.8.131.171 34290 443
tcp 10.0.3.15 119.29.29.29 43214 80
tcp 154.8.131.171 10.0.3.15 443 34290
tcp 119.29.29.29 10.0.3.15 80 43214
tcp 10.0.3.15 117.34.82.218 41574 443
tcp 10.0.3.15 119.29.29.29 33240 80
tcp 119.29.29.29 10.0.3.15 80 33240
tcp 117.34.82.218 10.0.3.15 443 41574
tcp 10.0.3.15 154.8.131.165 55082 443
tcp 154.8.131.165 10.0.3.15 443 55082
tcp 10.0.3.15 154.8.131.165 49102 443
tcp 154.8.131.165 10.0.3.15 443 49102
tcp 10.0.3.15 154.8.131.165 50247 443
tcp 154.8.131.165 10.0.3.15 443 50247
tcp 10.0.3.15 154.8.131.165 50197 443
tcp 154.8.131.165 10.0.3.15 443 50197
tcp 10.0.3.15 154.8.131.165 46563 443
tcp 10.0.3.15 154.8.131.165 35761 443
tcp 10.0.3.15 154.8.131.165 52604 443
tcp 10.0.3.15 154.8.131.165 35487 443
tcp 10.0.3.15 154.8.131.165 51200 443
tcp 10.0.3.15 154.8.131.165 59292 443
tcp 154.8.131.165 10.0.3.15 443 46563
tcp 10.0.3.15 154.8.131.165 45880 443
tcp 154.8.131.165 10.0.3.15 443 35761
tcp 154.8.131.165 10.0.3.15 443 52604
tcp 154.8.131.165 10.0.3.15 443 35487
tcp 154.8.131.165 10.0.3.15 443 51200
tcp 154.8.131.165 10.0.3.15 443 59292
tcp 154.8.131.165 10.0.3.15 443 45880
tcp 10.0.3.15 139.209.203.192 52973 443
tcp 139.209.203.192 10.0.3.15 443 52973
tcp 10.0.3.15 121.17.123.141 55575 443
tcp 10.0.3.15 139.209.203.192 59923 443
tcp 10.0.3.15 139.209.203.192 47493 443
tcp 121.17.123.141 10.0.3.15 443 55575
tcp 139.209.203.192 10.0.3.15 443 59923
tcp 139.209.203.192 10.0.3.15 443 47493
tcp 10.0.3.15 121.17.123.141 42446 443
tcp 121.17.123.141 10.0.3.15 443 42446
udp 10.0.3.15 202.113.16.41 64587 53
udp 202.113.16.41 10.0.3.15 53 64587
tcp 10.0.3.15 154.8.131.165 60896 443
tcp 154.8.131.165 10.0.3.15 443 60896
tcp 10.0.3.15 154.8.131.165 36914 443
tcp 154.8.131.165 10.0.3.15 443 36914
udp 10.0.3.15 202.113.16.41 34964 53
udp 202.113.16.41 10.0.3.15 53 34964
tcp 10.0.3.15 121.17.123.141 55053 443
tcp 121.17.123.141 10.0.3.15 443 55053
udp 10.0.3.15 202.113.16.41 28749 53
udp 202.113.16.41 10.0.3.15 53 28749
tcp 10.0.3.15 154.8.131.171 42514 443
tcp 10.0.3.15 119.29.29.29 53644 80
tcp 154.8.131.171 10.0.3.15 443 42514
tcp 119.29.29.29 10.0.3.15 80 53644
tcp 10.0.3.15 119.29.29.29 46958 80
tcp 10.0.3.15 117.34.82.218 48185 443
tcp 119.29.29.29 10.0.3.15 80 46958
tcp 10.0.3.15 154.8.131.165 38517 443
tcp 154.8.131.165 10.0.3.15 443 38517
tcp 117.34.82.218 10.0.3.15 443 48185
tcp 10.0.3.15 121.17.123.141 37432 443
tcp 121.17.123.141 10.0.3.15 443 37432
tcp 10.0.3.15 154.8.131.172 54457 443
tcp 154.8.131.172 10.0.3.15 443 54457
tcp 10.0.3.15 154.8.131.172 60529 443
tcp 154.8.131.172 10.0.3.15 443 60529
tcp 10.0.3.15 154.8.131.172 58299 443
tcp 154.8.131.172 10.0.3.15 443 58299
tcp 10.0.3.15 154.8.131.172 41034 443
tcp 154.8.131.172 10.0.3.15 443 41034
tcp 10.0.3.15 154.8.131.172 60157 443
tcp 10.0.3.15 154.8.131.172 35467 443
tcp 10.0.3.15 154.8.131.172 50856 443
tcp 10.0.3.15 154.8.131.172 51377 443
tcp 10.0.3.15 154.8.131.172 38173 443
tcp 10.0.3.15 154.8.131.172 42207 443
tcp 10.0.3.15 154.8.131.172 34515 443
tcp 154.8.131.172 10.0.3.15 443 60157
tcp 154.8.131.172 10.0.3.15 443 35467
tcp 154.8.131.172 10.0.3.15 443 50856
tcp 154.8.131.172 10.0.3.15 443 51377
tcp 154.8.131.172 10.0.3.15 443 38173
tcp 154.8.131.172 10.0.3.15 443 42207
tcp 154.8.131.172 10.0.3.15 443 34515
tcp 10.0.3.15 121.17.123.141 42291 443
tcp 10.0.3.15 117.34.82.218 35372 443
tcp 121.17.123.141 10.0.3.15 443 42291
tcp 10.0.3.15 119.29.29.29 51900 80
tcp 119.29.29.29 10.0.3.15 80 51900
tcp 117.34.82.218 10.0.3.15 443 35372
tcp 10.0.3.15 117.34.82.218 34090 443
tcp 10.0.3.15 117.34.82.218 37762 443
tcp 117.34.82.218 10.0.3.15 443 34090
tcp 117.34.82.218 10.0.3.15 443 37762
tcp 10.0.3.15 117.34.82.218 37368 443
tcp 117.34.82.218 10.0.3.15 443 37368
tcp 10.0.3.15 121.17.123.141 41183 443
tcp 121.17.123.141 10.0.3.15 443 41183
tcp 10.0.3.15 154.8.131.172 37830 443
tcp 154.8.131.172 10.0.3.15 443 37830
tcp 10.0.3.15 154.8.131.172 49564 443
tcp 154.8.131.172 10.0.3.15 443 49564
tcp 10.0.3.15 154.8.131.165 53829 443
tcp 154.8.131.165 10.0.3.15 443 53829
tcp 10.0.3.15 154.8.131.165 44229 443
tcp 154.8.131.165 10.0.3.15 443 44229
udp 10.0.3.15 202.113.16.41 26501 53
udp 202.113.16.41 10.0.3.15 53 26501
tcp 10.0.3.15 111.32.143.148 48139 443
tcp 111.32.143.148 10.0.3.15 443 48139
tcp 10.0.3.15 119.29.29.29 41103 80
tcp 119.29.29.29 10.0.3.15 80 41103
tcp 10.0.3.15 154.8.131.165 45812 443
tcp 154.8.131.165 10.0.3.15 443 45812
tcp 10.0.3.15 154.8.131.172 36187 443
tcp 154.8.131.172 10.0.3.15 443 36187
tcp 10.0.3.15 111.32.143.148 43943 443
tcp 10.0.3.15 119.29.29.29 37330 80
tcp 111.32.143.148 10.0.3.15 443 43943
tcp 119.29.29.29 10.0.3.15 80 37330
tcp 10.0.3.15 117.34.82.218 39713 443
tcp 10.0.3.15 119.29.29.29 44974 80
tcp 119.29.29.29 10.0.3.15 80 44974
tcp 117.34.82.218 10.0.3.15 443 39713
tcp 10.0.3.15 154.8.131.165 43940 443
tcp 154.8.131.165 10.0.3.15 443 43940
tcp 10.0.3.15 154.8.131.172 44584 443
tcp 154.8.131.172 10.0.3.15 443 44584
tcp 10.0.3.15 154.8.131.172 52556 443
tcp 154.8.131.172 10.0.3.15 443 52556
tcp 10.0.3.15 154.8.131.165 57287 443
tcp 154.8.131.165 10.0.3.15 443 57287
udp 10.0.3.15 202.113.16.41 46332 53
udp 202.113.16.41 10.0.3.15 53 46332
tcp 10.0.3.15 154.8.131.171 40166 443
tcp 154.8.131.171 10.0.3.15 443 40166
tcp 10.0.3.15 119.29.29.29 51364 80
tcp 10.0.3.15 154.8.131.171 60576 443
tcp 119.29.29.29 10.0.3.15 80 51364
tcp 154.8.131.171 10.0.3.15 443 60576
tcp 10.0.3.15 111.32.143.148 54677 443
tcp 10.0.3.15 119.29.29.29 49699 80
tcp 111.32.143.148 10.0.3.15 443 54677
tcp 10.0.3.15 117.34.82.218 49139 443
tcp 119.29.29.29 10.0.3.15 80 49699
tcp 10.0.3.15 119.29.29.29 41754 80
tcp 119.29.29.29 10.0.3.15 80 41754
tcp 10.0.3.15 117.34.82.218 34285 443
tcp 10.0.3.15 119.29.29.29 40914 80
tcp 119.29.29.29 10.0.3.15 80 40914
tcp 117.34.82.218 10.0.3.15 443 49139
tcp 117.34.82.218 10.0.3.15 443 34285
tcp 10.0.3.15 154.8.131.172 33615 443
tcp 154.8.131.172 10.0.3.15 443 33615
tcp 10.0.3.15 154.8.131.172 34184 443
tcp 10.0.3.15 154.8.131.172 46137 443
tcp 10.0.3.15 154.8.131.172 43189 443
tcp 10.0.3.15 154.8.131.172 32784 443
tcp 154.8.131.172 10.0.3.15 443 34184
tcp 10.0.3.15 154.8.131.172 54987 443
tcp 10.0.3.15 154.8.131.172 48556 443
tcp 154.8.131.172 10.0.3.15 443 46137
tcp 154.8.131.172 10.0.3.15 443 43189
tcp 154.8.131.172 10.0.3.15 443 32784
tcp 10.0.3.15 154.8.131.172 33122 443
tcp 10.0.3.15 154.8.131.172 36664 443
tcp 10.0.3.15 154.8.131.172 41762 443
tcp 154.8.131.172 10.0.3.15 443 48556
tcp 154.8.131.172 10.0.3.15 443 54987
tcp 154.8.131.172 10.0.3.15 443 33122
tcp 154.8.131.172 10.0.3.15 443 36664
tcp 154.8.131.172 10.0.3.15 443 41762
udp 10.0.3.15 202.113.16.41 60528 53
udp 202.113.16.41 10.0.3.15 53 60528
tcp 10.0.3.15 221.194.146.244 40167 443
tcp 221.194.146.244 10.0.3.15 443 40167
udp 10.0.3.15 202.113.16.41 31342 53
udp 202.113.16.41 10.0.3.15 53 31342
tcp 10.0.3.15 1.180.27.232 57990 443
tcp 10.0.3.15 119.29.29.29 47705 80
tcp 119.29.29.29 10.0.3.15 80 47705
tcp 10.0.3.15 221.194.146.244 33328 443
tcp 221.194.146.244 10.0.3.15 443 33328
tcp 10.0.3.15 121.17.123.141 47794 443
tcp 1.180.27.232 10.0.3.15 443 57990
tcp 121.17.123.141 10.0.3.15 443 47794
tcp 10.0.3.15 121.17.123.141 36887 443
tcp 121.17.123.141 10.0.3.15 443 36887
tcp 10.0.3.15 121.17.123.141 56091 443
tcp 121.17.123.141 10.0.3.15 443 56091
tcp 10.0.3.15 121.17.123.141 58896 443
tcp 121.17.123.141 10.0.3.15 443 58896
tcp 10.0.3.15 221.194.146.244 43082 443
tcp 221.194.146.244 10.0.3.15 443 43082
tcp 10.0.3.15 154.8.131.165 51640 443
tcp 154.8.131.165 10.0.3.15 443 51640
tcp 10.0.3.15 154.8.131.172 45006 443
tcp 154.8.131.172 10.0.3.15 443 45006
tcp 10.0.3.15 154.8.131.171 57711 443
tcp 154.8.131.171 10.0.3.15 443 57711
tcp 10.0.3.15 154.8.131.171 54613 443
tcp 10.0.3.15 119.29.29.29 34706 80
tcp 154.8.131.171 10.0.3.15 443 54613
tcp 119.29.29.29 10.0.3.15 80 34706
tcp 10.0.3.15 154.8.131.165 34455 443
tcp 154.8.131.165 10.0.3.15 443 34455
tcp 10.0.3.15 154.8.131.165 59568 443
tcp 154.8.131.165 10.0.3.15 443 59568
tcp 10.0.3.15 140.249.37.248 36893 443
tcp 10.0.3.15 119.29.29.29 52072 80
tcp 119.29.29.29 10.0.3.15 80 52072
tcp 140.249.37.248 10.0.3.15 443 36893
tcp 10.0.3.15 121.17.123.141 32837 443
tcp 121.17.123.141 10.0.3.15 443 32837
tcp 10.0.3.15 140.249.37.248 42212 443
tcp 140.249.37.248 10.0.3.15 443 42212
tcp 10.0.3.15 140.249.37.248 44422 443
tcp 140.249.37.248 10.0.3.15 443 44422
tcp 10.0.3.15 154.8.131.165 59235 443
tcp 154.8.131.165 10.0.3.15 443 59235
tcp 10.0.3.15 154.8.131.171 58964 443
tcp 154.8.131.171 10.0.3.15 443 58964
tcp 10.0.3.15 154.8.131.171 52387 443
tcp 154.8.131.171 10.0.3.15 443 52387
tcp 10.0.3.15 154.8.131.171 55892 443
tcp 154.8.131.171 10.0.3.15 443 55892
tcp 10.0.3.15 154.8.131.171 38763 443
tcp 154.8.131.171 10.0.3.15 443 38763
tcp 10.0.3.15 154.8.131.171 48335 443
tcp 154.8.131.171 10.0.3.15 443 48335
tcp 10.0.3.15 154.8.131.171 36007 443
tcp 154.8.131.171 10.0.3.15 443 36007
tcp 10.0.3.15 154.8.131.171 49074 443
tcp 10.0.3.15 154.8.131.171 55070 443
tcp 10.0.3.15 154.8.131.171 38294 443
tcp 10.0.3.15 154.8.131.171 48580 443
tcp 10.0.3.15 154.8.131.171 34059 443
tcp 10.0.3.15 154.8.131.171 45425 443
tcp 10.0.3.15 154.8.131.171 52227 443
tcp 154.8.131.171 10.0.3.15 443 49074
tcp 154.8.131.171 10.0.3.15 443 55070
tcp 154.8.131.171 10.0.3.15 443 52227
tcp 154.8.131.171 10.0.3.15 443 38294
tcp 154.8.131.171 10.0.3.15 443 45425
tcp 154.8.131.171 10.0.3.15 443 34059
tcp 154.8.131.171 10.0.3.15 443 48580
udp 10.0.3.15 202.113.16.41 60478 53
udp 202.113.16.41 10.0.3.15 53 60478
tcp 10.0.3.15 154.8.131.171 39817 443
tcp 154.8.131.171 10.0.3.15 443 39817
udp 10.0.3.15 202.113.16.41 58491 53
udp 202.113.16.41 10.0.3.15 53 58491
tcp 10.0.3.15 121.17.123.141 60225 443
tcp 10.0.3.15 119.29.29.29 44564 80
tcp 10.0.3.15 140.249.37.248 42873 443
tcp 119.29.29.29 10.0.3.15 80 44564
tcp 121.17.123.141 10.0.3.15 443 60225
tcp 140.249.37.248 10.0.3.15 443 42873
tcp 10.0.3.15 116.136.135.228 49008 443
tcp 10.0.3.15 116.136.135.228 55919 443
tcp 116.136.135.228 10.0.3.15 443 49008
tcp 116.136.135.228 10.0.3.15 443 55919
tcp 10.0.3.15 116.136.135.228 35133 443
tcp 116.136.135.228 10.0.3.15 443 35133
tcp 10.0.3.15 154.8.131.171 58658 443
tcp 154.8.131.171 10.0.3.15 443 58658
udp 10.0.3.15 202.113.16.41 47302 53
udp 202.113.16.41 10.0.3.15 53 47302
tcp 10.0.3.15 154.8.131.171 35461 443
tcp 10.0.3.15 119.29.29.29 43474 80
tcp 119.29.29.29 10.0.3.15 80 43474
tcp 154.8.131.171 10.0.3.15 443 35461
tcp 10.0.3.15 154.8.131.171 34096 443
tcp 154.8.131.171 10.0.3.15 443 34096
tcp 10.0.3.15 121.17.123.141 45541 443
tcp 10.0.3.15 121.17.123.141 37053 443
tcp 121.17.123.141 10.0.3.15 443 45541
tcp 121.17.123.141 10.0.3.15 443 37053
tcp 10.0.3.15 121.17.123.141 33449 443
tcp 121.17.123.141 10.0.3.15 443 33449
tcp 10.0.3.15 154.8.131.171 51490 443
tcp 154.8.131.171 10.0.3.15 443 51490
tcp 10.0.3.15 154.8.131.171 34820 443
tcp 154.8.131.171 10.0.3.15 443 34820
tcp 10.0.3.15 154.8.131.171 39639 443
tcp 154.8.131.171 10.0.3.15 443 39639
tcp 10.0.3.15 154.8.131.171 36972 443
tcp 154.8.131.171 10.0.3.15 443 36972
tcp 10.0.3.15 154.8.131.171 33403 443
tcp 154.8.131.171 10.0.3.15 443 33403
tcp 10.0.3.15 154.8.131.171 60852 443
tcp 154.8.131.171 10.0.3.15 443 60852
tcp 10.0.3.15 154.8.131.171 41617 443
tcp 154.8.131.171 10.0.3.15 443 41617
tcp 10.0.3.15 154.8.131.171 50510 443
tcp 10.0.3.15 154.8.131.171 55394 443
tcp 10.0.3.15 154.8.131.171 48693 443
tcp 10.0.3.15 154.8.131.171 33039 443
tcp 10.0.3.15 154.8.131.171 47000 443
tcp 10.0.3.15 154.8.131.171 44642 443
tcp 10.0.3.15 154.8.131.171 38651 443
tcp 154.8.131.171 10.0.3.15 443 50510
tcp 154.8.131.171 10.0.3.15 443 33039
tcp 154.8.131.171 10.0.3.15 443 48693
tcp 154.8.131.171 10.0.3.15 443 55394
tcp 154.8.131.171 10.0.3.15 443 44642
tcp 154.8.131.171 10.0.3.15 443 47000
tcp 154.8.131.171 10.0.3.15 443 38651
tcp 10.0.3.15 140.249.37.248 36129 443
tcp 10.0.3.15 119.29.29.29 44204 80
tcp 119.29.29.29 10.0.3.15 80 44204
tcp 140.249.37.248 10.0.3.15 443 36129
udp 10.0.3.15 202.113.16.41 48212 53
udp 10.0.3.15 202.113.16.41 56679 53
udp 202.113.16.41 10.0.3.15 53 48212
tcp 10.0.3.15 111.32.143.149 38812 443
tcp 10.0.3.15 111.32.143.149 55607 443
udp 202.113.16.41 10.0.3.15 53 56679
tcp 10.0.3.15 111.32.143.148 47341 443
tcp 10.0.3.15 119.29.29.29 59337 80
tcp 111.32.143.149 10.0.3.15 443 55607
